Date,0981.HK,NVDA,TSM
2015-04-10 00:00:00+00:00,125.6756766335297,113.06507749373634,105.47575976550914
2015-04-13 00:00:00+00:00,122.97297654315618,112.02186297173537,104.71274328860281
2015-04-14 00:00:00+00:00,116.21621987347706,111.07799544576693,104.03949547034676
2015-04-15 00:00:00+00:00,117.56756347491853,112.41927464375195,105.52064409483425
2015-04-16 00:00:00+00:00,114.864863384545,111.72379829575132,104.3087928854871
2015-04-17 00:00:00+00:00,110.81080680523941,110.28316025779053,104.21902422683682
2015-04-20 00:00:00+00:00,106.75675666967912,109.73671624778191,104.44344587346248
2015-04-21 00:00:00+00:00,113.51350689561295,109.5876839097899,104.71274328860281
2015-04-22 00:00:00+00:00,114.864863384545,110.82960426779913,107.00179271932176
2015-04-23 00:00:00+00:00,116.21621987347706,110.38250725382304,109.06642050341505
